2022-09-29 19:09:52 INFO     Accepted client with address ('10.0.0.103', 52098)
2022-09-29 19:10:03 INFO     Accepted client with address ('10.0.0.103', 52099)
2022-09-29 19:10:03 INFO     Giving start info
2022-09-29 19:10:03 DEBUG    Sending message start
2022-09-29 19:10:03 DEBUG    Sending message 20
2022-09-29 19:10:03 DEBUG    Sending message 7
2022-09-29 19:10:03 DEBUG    Sending message 100
2022-09-29 19:10:03 DEBUG    Sending message start
2022-09-29 19:10:03 DEBUG    Sending message 20
2022-09-29 19:10:03 DEBUG    Sending message 7
2022-09-29 19:10:03 DEBUG    Sending message 100
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
2022-09-29 19:10:03 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:03 DEBUG    Attemting to receive packet
